FIPS Code,County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent adults fully vaccinated against COVID-19 (as of 6/10/21),Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Geographical Point,State Code
6053,"Monterey County, California",CALIFORNIA,0.0677,0.1061,0.0333,0.8,High Vulnerability,0.62,High Concern,0.576,0.5867,0.0019,0.0539,0.0248,0.0046,0.2993,POINT (-119.662127 37.211164),CA
5113,"Polk County, Arkansas",ARKANSAS,0.2154,0.2653,0.1429,0.89,Very High Vulnerability,0.66,High Concern,0.267,0.0659,0.0135,0.0028,0.0047,0,0.876,POINT (-92.439162 34.899825),AR
8001,"Adams County, Colorado",COLORADO,0.0777,0.1233,0.0465,0.59,Moderate Vulnerability,0.3,Low Concern,0.4,0.4003,0.0045,0.0387,0.032,0.0011,0.5002,POINT (-105.547832 38.998552),CO
6027,"Inyo County, California",CALIFORNIA,0.0779,0.1146,0.0387,0.57,Moderate Vulnerability,0.56,Moderate Concern,,0.2236,0.1017,0.0181,0.0078,0.0019,0.6215,POINT (-119.662127 37.211164),CA
6061,"Placer County, California",CALIFORNIA,0.0581,0.0843,0.0289,0.15,Very Low Vulnerability,0.35,Low Concern,0.56,0.14,0.0036,0.0741,0.0165,0.0015,0.7266,POINT (-119.662127 37.211164),CA
5109,"Pike County, Arkansas",ARKANSAS,0.2112,0.2589,0.1377,0.71,High Vulnerability,0.76,High Concern,0.301,0.0651,0.0052,0.0043,0.0408,0,0.8737,POINT (-92.439162 34.899825),AR
8063,"Kit Carson County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.52,Moderate Vulnerability,0.62,High Concern,0.237,0.1908,0.0039,0.0019,0.025,0.0026,0.7696,POINT (-105.547832 38.998552),CO
5139,"Union County, Arkansas",ARKANSAS,0.1967,0.2479,0.1296,0.81,Very High Vulnerability,0.54,Moderate Concern,0.361,0.04,0.0074,0.0065,0.3266,0,0.6052,POINT (-92.439162 34.899825),AR
5099,"Nevada County, Arkansas",ARKANSAS,0.2112,0.2589,0.1377,0.88,Very High Vulnerability,0.75,High Concern,0.269,0.0002,0.0016,0.0004,0.3453,0.0002,0.6281,POINT (-92.439162 34.899825),AR
6071,"San Bernardino County, California",CALIFORNIA,0.074,0.1174,0.0361,0.9,Very High Vulnerability,0.69,High Concern,0.439,0.5332,0.0036,0.0699,0.0788,0.0029,0.2853,POINT (-119.662127 37.211164),CA
8095,"Phillips County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.3,Low Vulnerability,0.3,Low Concern,0.284,0.2394,0,0.0051,0.0012,0,0.7408,POINT (-105.547832 38.998552),CO
6013,"Contra Costa County, California",CALIFORNIA,0.0543,0.0825,0.027,0.41,Moderate Vulnerability,0.47,Moderate Concern,0.7,0.2559,0.002,0.1648,0.084,0.0046,0.4383,POINT (-119.662127 37.211164),CA
8009,"Baca County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.61,High Vulnerability,0.61,High Concern,0.192,0.1095,0.016,0,0.0095,0.0008,0.8484,POINT (-105.547832 38.998552),CO
6101,"Sutter County, California",CALIFORNIA,0.0821,0.1288,0.041,0.88,Very High Vulnerability,0.62,High Concern,0.46,0.3095,0.0065,0.1552,0.0175,0.0039,0.4621,POINT (-119.662127 37.211164),CA
8017,"Cheyenne County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.26,Low Vulnerability,0.24,Low Concern,0.152,0.1708,0,0.0217,0.001,0.002,0.7779,POINT (-105.547832 38.998552),CO
6007,"Butte County, California",CALIFORNIA,0.079,0.1214,0.0392,0.81,Very High Vulnerability,0.66,High Concern,0.436,0.1635,0.0075,0.0445,0.0148,0.0021,0.7198,POINT (-119.662127 37.211164),CA
5129,"Searcy County, Arkansas",ARKANSAS,0.2042,0.2445,0.1346,0.44,Moderate Vulnerability,0.75,High Concern,0.309,0.0242,0.0176,0.007,0.0061,0,0.9313,POINT (-92.439162 34.899825),AR
6037,"Los Angeles County, California",CALIFORNIA,0.0602,0.0959,0.0291,0.77,High Vulnerability,0.71,High Concern,0.562,0.4849,0.0021,0.1443,0.0784,0.0024,0.262,POINT (-119.662127 37.211164),CA
8037,"Eagle County, Colorado",COLORADO,0.0652,0.0995,0.0382,0.14,Very Low Vulnerability,0.19,Very Low Concern,0.476,0.2959,0.002,0.0065,0.0112,0.0006,0.672,POINT (-105.547832 38.998552),CO
8087,"Morgan County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.74,High Vulnerability,0.29,Low Concern,0.315,0.3614,0.0019,0.0053,0.0364,0.0018,0.5819,POINT (-105.547832 38.998552),CO
5123,"St. Francis County, Arkansas",ARKANSAS,0.2279,0.2857,0.152,0.97,Very High Vulnerability,0.78,High Concern,0.359,0.0519,0.0029,0.0062,0.5314,0.0014,0.3997,POINT (-92.439162 34.899825),AR
5093,"Mississippi County, Arkansas",ARKANSAS,0.2168,0.2726,0.1417,0.96,Very High Vulnerability,0.79,High Concern,0.31,0.0413,0.0006,0.0056,0.3374,0.0008,0.5828,POINT (-92.439162 34.899825),AR
6077,"San Joaquin County, California",CALIFORNIA,0.0712,0.1143,0.0354,0.89,Very High Vulnerability,0.7,High Concern,0.433,0.414,0.0023,0.152,0.0674,0.0055,0.3185,POINT (-119.662127 37.211164),CA
8047,"Gilpin County, Colorado",COLORADO,0.0494,0.0717,0.0298,0,Very Low Vulnerability,0.17,Very Low Concern,0.407,0.0836,0.0203,0,0.0033,0,0.8529,POINT (-105.547832 38.998552),CO
6043,"Mariposa County, California",CALIFORNIA,0.0779,0.1146,0.0387,0.53,Moderate Vulnerability,0.8,Very High Concern,,0.1127,0.0187,0.0121,0.0145,0.003,0.7999,POINT (-119.662127 37.211164),CA
6091,"Sierra County, California",CALIFORNIA,0.0726,0.107,0.0363,0.05,Very Low Vulnerability,0.78,High Concern,,0.1066,0.0095,0,0.0007,0,0.8757,POINT (-119.662127 37.211164),CA
5149,"Yell County, Arkansas",ARKANSAS,0.2091,0.2576,0.1378,0.88,Very High Vulnerability,0.79,High Concern,0.357,0.2015,0.0043,0.0099,0.0207,0,0.7527,POINT (-92.439162 34.899825),AR
8101,"Pueblo County, Colorado",COLORADO,0.0766,0.1254,0.0453,0.87,Very High Vulnerability,0.42,Moderate Concern,0.329,0.4299,0.0072,0.0063,0.0159,0.0007,0.5206,POINT (-105.547832 38.998552),CO
5137,"Stone County, Arkansas",ARKANSAS,0.2177,0.2654,0.1452,0.51,Moderate Vulnerability,0.65,High Concern,0.318,0.0195,0.0046,0.0051,0.0009,0,0.9465,POINT (-92.439162 34.899825),AR
6029,"Kern County, California",CALIFORNIA,0.0821,0.1331,0.0404,0.97,Very High Vulnerability,0.82,Very High Concern,0.408,0.5333,0.0048,0.0459,0.0516,0.0013,0.3416,POINT (-119.662127 37.211164),CA
5115,"Pope County, Arkansas",ARKANSAS,0.2091,0.2576,0.1378,0.79,High Vulnerability,0.61,High Concern,0.38,0.0902,0.0061,0.0103,0.0293,0,0.8401,POINT (-92.439162 34.899825),AR
8023,"Costilla County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.94,Very High Vulnerability,0.76,High Concern,0.348,0.6187,0.004,0.0128,0.0037,0,0.3338,POINT (-105.547832 38.998552),CO
5085,"Lonoke County, Arkansas",ARKANSAS,0.2095,0.2556,0.1359,0.33,Low Vulnerability,0.43,Moderate Concern,0.372,0.0447,0.0065,0.0078,0.0564,0.0027,0.86,POINT (-92.439162 34.899825),AR
8061,"Kiowa County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.32,Low Vulnerability,0.3,Low Concern,0.146,0.0484,0,0,0.004,0,0.9167,POINT (-105.547832 38.998552),CO
8081,"Moffat County, Colorado",COLORADO,0.0832,0.1289,0.0501,0.55,Moderate Vulnerability,0.55,Moderate Concern,0.227,0.1557,0.0054,0.0014,0.0099,0,0.8032,POINT (-105.547832 38.998552),CO
6085,"Santa Clara County, California",CALIFORNIA,0.0413,0.0631,0.0206,0.36,Low Vulnerability,0.42,Moderate Concern,0.734,0.2547,0.0017,0.3628,0.0235,0.0032,0.3154,POINT (-119.662127 37.211164),CA
6115,"Yuba County, California",CALIFORNIA,0.0821,0.1288,0.041,0.94,Very High Vulnerability,0.79,High Concern,0.366,0.2824,0.0078,0.0665,0.0334,0.0039,0.5519,POINT (-119.662127 37.211164),CA
8071,"Las Animas County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.84,Very High Vulnerability,0.77,High Concern,0.337,0.415,0.0168,0.0096,0.0075,0,0.5289,POINT (-105.547832 38.998552),CO
6021,"Glenn County, California",CALIFORNIA,0.0821,0.1284,0.041,0.89,Very High Vulnerability,0.87,Very High Concern,0.441,0.4175,0.014,0.0295,0.0069,0.0004,0.5147,POINT (-119.662127 37.211164),CA
5107,"Phillips County, Arkansas",ARKANSAS,0.2279,0.2857,0.152,0.92,Very High Vulnerability,0.73,High Concern,0.375,0.0188,0.0001,0,0.6315,0,0.345,POINT (-92.439162 34.899825),AR
6063,"Plumas County, California",CALIFORNIA,0.0923,0.1402,0.0465,0.27,Low Vulnerability,0.54,Moderate Concern,,0.0895,0.0144,0.0114,0.0076,0.0046,0.8314,POINT (-119.662127 37.211164),CA
6051,"Mono County, California",CALIFORNIA,0.0779,0.1146,0.0387,0.14,Very Low Vulnerability,0.68,High Concern,,0.2701,0.0169,0.0254,0.0041,0,0.6505,POINT (-119.662127 37.211164),CA
6107,"Tulare County, California",CALIFORNIA,0.0796,0.1284,0.0389,0.94,Very High Vulnerability,0.74,High Concern,0.429,0.6457,0.006,0.0324,0.0125,0.0014,0.2852,POINT (-119.662127 37.211164),CA
8031,"Denver County, Colorado",COLORADO,0.0658,0.1047,0.0382,0.42,Moderate Vulnerability,0.34,Low Concern,0.465,0.299,0.0045,0.0365,0.0889,0.0013,0.5417,POINT (-105.547832 38.998552),CO
8053,"Hinsdale County, Colorado",COLORADO,0.0736,0.1142,0.0438,0.06,Very Low Vulnerability,0.24,Low Concern,0.304,0.0572,0.0175,0.0047,0,0,0.8996,POINT (-105.547832 38.998552),CO
6093,"Siskiyou County, California",CALIFORNIA,0.0923,0.1402,0.0465,0.72,High Vulnerability,0.68,High Concern,0.433,0.1258,0.032,0.016,0.0157,0.0029,0.761,POINT (-119.662127 37.211164),CA
8011,"Bent County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.9,Very High Vulnerability,0.82,Very High Concern,0.101,0.3205,0.0041,0.0021,0.0365,0,0.6337,POINT (-105.547832 38.998552),CO
12091,"Okaloosa County, Florida",FLORIDA,0.1501,0.2094,0.0987,0.39,Low Vulnerability,0.64,High Concern,0.435,0.0926,0.0019,0.0295,0.0949,0.0009,0.7362,POINT (-82.420978 28.260731),FL
13097,"Douglas County, Georgia",GEORGIA,0.1391,0.2109,0.0864,0.54,Moderate Vulnerability,0.65,High Concern,0.223,0.0966,0.0007,0.0159,0.4593,0.0002,0.4052,POINT (-83.426574 32.638481),GA
13021,"Bibb County, Georgia",GEORGIA,0.149,0.2288,0.0933,0.92,Very High Vulnerability,0.67,High Concern,0.19,0.0325,0.0016,0.0202,0.5429,0.0005,0.3832,POINT (-83.426574 32.638481),GA
8103,"Rio Blanco County, Colorado",COLORADO,0.0832,0.1289,0.0501,0.34,Low Vulnerability,0.27,Low Concern,0.177,0.1026,0.0114,0.0013,0.0047,0,0.8465,POINT (-105.547832 38.998552),CO
12129,"Wakulla County, Florida",FLORIDA,0.1681,0.2345,0.1151,0.4,Moderate Vulnerability,0.73,High Concern,0.354,0.0373,0.002,0.0052,0.1495,0,0.7963,POINT (-82.420978 28.260731),FL
13051,"Chatham County, Georgia",GEORGIA,0.1451,0.216,0.0898,0.69,High Vulnerability,0.51,Moderate Concern,0.406,0.064,0.0023,0.0255,0.3943,0.0011,0.485,POINT (-83.426574 32.638481),GA
8113,"San Miguel County, Colorado",COLORADO,0.0768,0.1187,0.0474,0.03,Very Low Vulnerability,0.21,Low Concern,0.584,0.1067,0.0062,0.0168,0.0001,0,0.8584,POINT (-105.547832 38.998552),CO
13061,"Clay County, Georgia",GEORGIA,0.1556,0.2329,0.0991,0.93,Very High Vulnerability,0.92,Very High Concern,0.194,0.0037,0,0.0102,0.6239,0,0.3541,POINT (-83.426574 32.638481),GA
8123,"Weld County, Colorado",COLORADO,0.0759,0.1182,0.0456,0.4,Low Vulnerability,0.28,Low Concern,0.374,0.2945,0.0031,0.0153,0.0114,0.0009,0.656,POINT (-105.547832 38.998552),CO
12067,"Lafayette County, Florida",FLORIDA,0.1725,0.2418,0.1175,0.98,Very High Vulnerability,0.96,Very High Concern,0.293,0.1575,0.0015,0,0.159,0.0032,0.662,POINT (-82.420978 28.260731),FL
13105,"Elbert County, Georgia",GEORGIA,0.1503,0.215,0.0953,0.83,Very High Vulnerability,0.91,Very High Concern,0.14,0.057,0,0.0043,0.296,0,0.6351,POINT (-83.426574 32.638481),GA
12039,"Gadsden County, Florida",FLORIDA,0.1681,0.2345,0.1151,0.99,Very High Vulnerability,0.97,Very High Concern,0.458,0.104,0.001,0.0018,0.5578,0.0004,0.3232,POINT (-82.420978 28.260731),FL
12001,"Alachua County, Florida",FLORIDA,0.1167,0.1711,0.0755,0.47,Moderate Vulnerability,0.63,High Concern,0.547,0.0989,0.0032,0.0606,0.1983,0.0006,0.6105,POINT (-82.420978 28.260731),FL
12029,"Dixie County, Florida",FLORIDA,0.1795,0.2473,0.1242,0.9,Very High Vulnerability,0.94,Very High Concern,0.253,0.0406,0.0001,0.0023,0.0876,0.0004,0.8408,POINT (-82.420978 28.260731),FL
12003,"Baker County, Florida",FLORIDA,0.155,0.2116,0.1039,0.68,High Vulnerability,0.74,High Concern,0.234,0.0256,0.0051,0.0061,0.1332,0.0004,0.8108,POINT (-82.420978 28.260731),FL
12059,"Holmes County, Florida",FLORIDA,0.1553,0.212,0.103,0.93,Very High Vulnerability,0.94,Very High Concern,0.24,0.0281,0.0137,0.0059,0.0687,0.0031,0.8667,POINT (-82.420978 28.260731),FL
9005,"Litchfield County, Connecticut",CONNECTICUT,0.0558,0.0775,0.0312,0.08,Very Low Vulnerability,0.01,Very Low Concern,0.657,0.0628,0.0023,0.0189,0.0148,0,0.8842,POINT (-72.738288 41.575155),CT
13039,"Camden County, Georgia",GEORGIA,0.1536,0.2237,0.0964,0.52,Moderate Vulnerability,0.62,High Concern,0.379,0.0673,0.0052,0.0192,0.1864,0.0011,0.698,POINT (-83.426574 32.638481),GA
13071,"Colquitt County, Georgia",GEORGIA,0.1624,0.2374,0.1034,0.98,Very High Vulnerability,0.88,Very High Concern,0.117,0.1921,0.0044,0.0083,0.2316,0.0001,0.5588,POINT (-83.426574 32.638481),GA
10001,"Kent County, Delaware",DELAWARE,0.0664,0.1391,0.0388,0.73,High Vulnerability,0.32,Low Concern,0.435,0.0707,0.0052,0.0199,0.251,0.0005,0.6159,POINT (-75.452394 38.994926),DE
12047,"Hamilton County, Florida",FLORIDA,0.1725,0.2418,0.1175,0.99,Very High Vulnerability,0.99,Very High Concern,0.287,0.0943,0.006,0.0014,0.3365,0,0.5471,POINT (-82.420978 28.260731),FL
13005,"Bacon County, Georgia",GEORGIA,0.188,0.2723,0.1224,0.94,Very High Vulnerability,0.88,Very High Concern,0.063,0.0826,0,0.0017,0.1519,0.0023,0.7351,POINT (-83.426574 32.638481),GA
12069,"Lake County, Florida",FLORIDA,0.129,0.1779,0.0861,0.6,High Vulnerability,0.57,Moderate Concern,0.535,0.156,0.0039,0.0197,0.1016,0.0003,0.697,POINT (-82.420978 28.260731),FL
12109,"St. Johns County, Florida",FLORIDA,0.1201,0.1612,0.0789,0.08,Very Low Vulnerability,0.34,Low Concern,0.59,0.0695,0.0029,0.0264,0.0521,0.0008,0.8263,POINT (-82.420978 28.260731),FL
12011,"Broward County, Florida",FLORIDA,0.1215,0.1741,0.0791,0.58,Moderate Vulnerability,0.71,High Concern,0.523,0.2981,0.0017,0.0351,0.2757,0.0005,0.3628,POINT (-82.420978 28.260731),FL
13031,"Bulloch County, Georgia",GEORGIA,0.1576,0.2346,0.0986,0.81,Very High Vulnerability,0.76,High Concern,0.223,0.0399,0.0033,0.0127,0.2776,0.0026,0.6348,POINT (-83.426574 32.638481),GA
13063,"Clayton County, Georgia",GEORGIA,0.1541,0.2413,0.0965,0.91,Very High Vulnerability,0.82,Very High Concern,0.133,0.1322,0.0016,0.0512,0.6833,0.0006,0.1007,POINT (-83.426574 32.638481),GA
12121,"Suwannee County, Florida",FLORIDA,0.1725,0.2418,0.1175,0.94,Very High Vulnerability,0.96,Very High Concern,0.291,0.0932,0.0009,0.0011,0.1273,0,0.7551,POINT (-82.420978 28.260731),FL
13115,"Floyd County, Georgia",GEORGIA,0.1649,0.2381,0.1045,0.89,Very High Vulnerability,0.75,High Concern,0.101,0.1107,0.0015,0.0127,0.1387,0,0.7076,POINT (-83.426574 32.638481),GA
12077,"Liberty County, Florida",FLORIDA,0.1681,0.2345,0.1151,0.83,Very High Vulnerability,0.91,Very High Concern,0.269,0.047,0.0123,0.0024,0.156,0,0.7625,POINT (-82.420978 28.260731),FL
13085,"Dawson County, Georgia",GEORGIA,0.1469,0.2076,0.0934,0.1,Very Low Vulnerability,0.38,Low Concern,0.062,0.047,0.0009,0.0059,0.0105,0,0.921,POINT (-83.426574 32.638481),GA
12131,"Walton County, Florida",FLORIDA,0.1553,0.212,0.103,0.58,Moderate Vulnerability,0.73,High Concern,0.369,0.0623,0.0044,0.0101,0.0461,0,0.8427,POINT (-82.420978 28.260731),FL
13087,"Decatur County, Georgia",GEORGIA,0.1784,0.2645,0.1148,0.95,Very High Vulnerability,0.84,Very High Concern,0.309,0.0608,0.0011,0.0025,0.4205,0,0.5021,POINT (-83.426574 32.638481),GA
13053,"Chattahoochee County, Georgia",GEORGIA,0.1496,0.2319,0.0927,0.64,High Vulnerability,0.66,High Concern,0.999,0.1586,0.0028,0.0289,0.1988,0.0014,0.5758,POINT (-83.426574 32.638481),GA
8105,"Rio Grande County, Colorado",COLORADO,0.0796,0.1312,0.0479,0.96,Very High Vulnerability,0.75,High Concern,0.396,0.4441,0.0126,0.0007,0.0055,0.001,0.5207,POINT (-105.547832 38.998552),CO
12101,"Pasco County, Florida",FLORIDA,0.1379,0.1893,0.091,0.63,High Vulnerability,0.58,Moderate Concern,0.451,0.1522,0.003,0.0254,0.0538,0.0006,0.7455,POINT (-82.420978 28.260731),FL
8115,"Sedgwick County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.69,High Vulnerability,0.48,Moderate Concern,0.238,0.1344,0.0013,0.0095,0.0082,0,0.8445,POINT (-105.547832 38.998552),CO
12075,"Levy County, Florida",FLORIDA,0.1795,0.2473,0.1242,0.78,High Vulnerability,0.9,Very High Concern,0.345,0.0839,0.0009,0.0086,0.0867,0,0.7975,POINT (-82.420978 28.260731),FL
13055,"Chattooga County, Georgia",GEORGIA,0.1694,0.2414,0.1079,0.93,Very High Vulnerability,0.92,Very High Concern,0.065,0.0515,0.0014,0.0017,0.103,0,0.8277,POINT (-83.426574 32.638481),GA
12123,"Taylor County, Florida",FLORIDA,0.1725,0.2418,0.1175,0.9,Very High Vulnerability,0.96,Very High Concern,0.292,0.0645,0.0032,0.0034,0.1987,0,0.7206,POINT (-82.420978 28.260731),FL
13023,"Bleckley County, Georgia",GEORGIA,0.1728,0.2541,0.1117,0.74,High Vulnerability,0.8,High Concern,0.04,0.0296,0.0009,0.0024,0.2733,0,0.6856,POINT (-83.426574 32.638481),GA
12009,"Brevard County, Florida",FLORIDA,0.127,0.1744,0.0833,0.37,Low Vulnerability,0.48,Moderate Concern,0.499,0.1029,0.0027,0.0233,0.0928,0.0009,0.7444,POINT (-82.420978 28.260731),FL
12031,"Duval County, Florida",FLORIDA,0.1418,0.2044,0.0932,0.69,High Vulnerability,0.71,High Concern,0.457,0.0974,0.0021,0.0457,0.2916,0.0006,0.5288,POINT (-82.420978 28.260731),FL
12093,"Okeechobee County, Florida",FLORIDA,0.1507,0.2148,0.1015,0.95,Very High Vulnerability,0.9,Very High Concern,0.364,0.2551,0.0046,0.0096,0.0769,0.0026,0.632,POINT (-82.420978 28.260731),FL
10003,"New Castle County, Delaware",DELAWARE,0.0564,0.118,0.0329,0.38,Low Vulnerability,0.16,Very Low Concern,0.552,0.0994,0.0022,0.0547,0.2455,0.0003,0.5744,POINT (-75.452394 38.994926),DE
13095,"Dougherty County, Georgia",GEORGIA,0.1552,0.2382,0.0982,0.95,Very High Vulnerability,0.74,High Concern,0.143,0.0286,0.002,0.0096,0.6939,0.0001,0.2523,POINT (-83.426574 32.638481),GA
12019,"Clay County, Florida",FLORIDA,0.1377,0.1903,0.0899,0.38,Low Vulnerability,0.49,Moderate Concern,0.354,0.0993,0.0011,0.0276,0.1028,0.0005,0.7274,POINT (-82.420978 28.260731),FL
13003,"Atkinson County, Georgia",GEORGIA,0.188,0.2723,0.1224,0.96,Very High Vulnerability,0.96,Very High Concern,0.063,0.2488,0.0098,0,0.1741,0,0.5652,POINT (-83.426574 32.638481),GA
12085,"Martin County, Florida",FLORIDA,0.1085,0.147,0.0706,0.4,Low Vulnerability,0.43,Moderate Concern,0.529,0.1362,0.0023,0.0137,0.053,0.0007,0.7826,POINT (-82.420978 28.260731),FL
13013,"Barrow County, Georgia",GEORGIA,0.1575,0.2219,0.0991,0.42,Moderate Vulnerability,0.68,High Concern,0.131,0.109,0.0015,0.0366,0.117,0.0001,0.7134,POINT (-83.426574 32.638481),GA
8121,"Washington County, Colorado",COLORADO,0.0945,0.1484,0.0582,0.28,Low Vulnerability,0.35,Low Concern,0.189,0.1002,0.0012,0.006,0.0097,0.0002,0.8694,POINT (-105.547832 38.998552),CO
12061,"Indian River County, Florida",FLORIDA,0.1254,0.1726,0.0829,0.4,Low Vulnerability,0.51,Moderate Concern,0.533,0.1238,0.0011,0.013,0.0882,0.0004,0.7529,POINT (-82.420978 28.260731),FL
13103,"Effingham County, Georgia",GEORGIA,0.1576,0.2346,0.0986,0.24,Low Vulnerability,0.55,Moderate Concern,0.187,0.0444,0.0018,0.0088,0.1316,0.0005,0.7828,POINT (-83.426574 32.638481),GA
13037,"Calhoun County, Georgia",GEORGIA,0.1784,0.2645,0.1148,0.98,Very High Vulnerability,0.96,Very High Concern,0.101,0.0474,0,0.0058,0.6031,0,0.3262,POINT (-83.426574 32.638481),GA
13069,"Coffee County, Georgia",GEORGIA,0.188,0.2723,0.1224,0.95,Very High Vulnerability,0.87,Very High Concern,0.219,0.117,0.0004,0.0079,0.2843,0,0.5813,POINT (-83.426574 32.638481),GA
12107,"Putnam County, Florida",FLORIDA,0.1571,0.2171,0.1055,0.95,Very High Vulnerability,0.92,Very High Concern,0.289,0.0999,0.0039,0.0061,0.1601,0.0001,0.7149,POINT (-82.420978 28.260731),FL
13011,"Banks County, Georgia",GEORGIA,0.1656,0.2358,0.1061,0.56,Moderate Vulnerability,0.86,Very High Concern,0.088,0.0689,0.0053,0.0112,0.026,0,0.878,POINT (-83.426574 32.638481),GA
9003,"Hartford County, Connecticut",CONNECTICUT,0.0531,0.078,0.029,0.51,Moderate Vulnerability,0.02,Very Low Concern,0.662,0.1803,0.0017,0.0532,0.1294,0.0002,0.6106,POINT (-72.738288 41.575155),CT
13079,"Crawford County, Georgia",GEORGIA,0.1478,0.2184,0.0935,0.68,High Vulnerability,0.75,High Concern,0.134,0.033,0.001,0.0015,0.2197,0,0.7327,POINT (-83.426574 32.638481),GA
12037,"Franklin County, Florida",FLORIDA,0.1681,0.2345,0.1151,0.81,Very High Vulnerability,0.77,High Concern,0.384,0.0545,0,0.0035,0.1378,0.0036,0.7711,POINT (-82.420978 28.260731),FL
13089,"DeKalb County, Georgia",GEORGIA,0.1216,0.1867,0.0745,0.66,High Vulnerability,0.61,High Concern,0.266,0.0853,0.0021,0.0604,0.5344,0.0004,0.2913,POINT (-83.426574 32.638481),GA
12099,"Palm Beach County, Florida",FLORIDA,0.1138,0.1584,0.0746,0.56,Moderate Vulnerability,0.52,Moderate Concern,0.522,0.2238,0.0008,0.0265,0.182,0.0002,0.5457,POINT (-82.420978 28.260731),FL
13077,"Coweta County, Georgia",GEORGIA,0.1374,0.1961,0.0857,0.24,Low Vulnerability,0.46,Moderate Concern,0.221,0.0701,0.0024,0.0207,0.1767,0.0002,0.71,POINT (-83.426574 32.638481),GA
13029,"Bryan County, Georgia",GEORGIA,0.1645,0.2508,0.1016,0.34,Low Vulnerability,0.6,Moderate Concern,0.313,0.0708,0.0043,0.0141,0.1385,0,0.7305,POINT (-83.426574 32.638481),GA
8107,"Routt County, Colorado",COLORADO,0.0832,0.1289,0.0501,0.06,Very Low Vulnerability,0.12,Very Low Concern,0.503,0.0695,0.0036,0.0114,0.0093,0.0002,0.8972,POINT (-105.547832 38.998552),CO
12017,"Citrus County, Florida",FLORIDA,0.136,0.1845,0.0909,0.6,High Vulnerability,0.65,High Concern,0.469,0.0569,0.0023,0.0171,0.028,0.0003,0.88,POINT (-82.420978 28.260731),FL
12021,"Collier County, Florida",FLORIDA,0.1071,0.1459,0.0706,0.46,Moderate Vulnerability,0.46,Moderate Concern,0.571,0.2792,0.0017,0.0129,0.0668,0,0.6283,POINT (-82.420978 28.260731),FL
12045,"Gulf County, Florida",FLORIDA,0.1681,0.2345,0.1151,0.59,Moderate Vulnerability,0.7,High Concern,0.388,0.0441,0.0039,0.0055,0.1658,0,0.7631,POINT (-82.420978 28.260731),FL
12083,"Marion County, Florida",FLORIDA,0.1434,0.1998,0.0958,0.75,High Vulnerability,0.71,High Concern,0.446,0.132,0.0026,0.0143,0.1248,0.0004,0.7033,POINT (-82.420978 28.260731),FL
9011,"New London County, Connecticut",CONNECTICUT,0.0622,0.0904,0.034,0.36,Low Vulnerability,0.03,Very Low Concern,0.684,0.1055,0.0054,0.0409,0.0519,0.0003,0.7566,POINT (-72.738288 41.575155),CT
10005,"Sussex County, Delaware",DELAWARE,0.0555,0.1121,0.0328,0.4,Moderate Vulnerability,0.12,Very Low Concern,0.569,0.0917,0.0032,0.0122,0.1181,0.0003,0.7496,POINT (-75.452394 38.994926),DE
12043,"Glades County, Florida",FLORIDA,0.1507,0.2148,0.1015,0.9,Very High Vulnerability,0.98,Very High Concern,0.245,0.2126,0.0384,0.008,0.1296,0,0.5974,POINT (-82.420978 28.260731),FL
12073,"Leon County, Florida",FLORIDA,0.1199,0.1781,0.0783,0.49,Moderate Vulnerability,0.59,Moderate Concern,0.451,0.0641,0.0017,0.0349,0.3057,0.0002,0.5652,POINT (-82.420978 28.260731),FL
13057,"Cherokee County, Georgia",GEORGIA,0.1369,0.1896,0.0852,0.12,Very Low Vulnerability,0.47,Moderate Concern,0.264,0.1052,0.0004,0.018,0.0671,0.0003,0.7872,POINT (-83.426574 32.638481),GA
12007,"Bradford County, Florida",FLORIDA,0.1795,0.2473,0.1242,0.93,Very High Vulnerability,0.95,Very High Concern,0.276,0.0416,0.0036,0.0061,0.2016,0,0.7354,POINT (-82.420978 28.260731),FL
12095,"Orange County, Florida",FLORIDA,0.1238,0.1775,0.0797,0.67,High Vulnerability,0.72,High Concern,0.507,0.3164,0.0012,0.0507,0.1979,0.0006,0.4002,POINT (-82.420978 28.260731),FL
9001,"Fairfield County, Connecticut",CONNECTICUT,0.0499,0.0717,0.0278,0.45,Moderate Vulnerability,0.04,Very Low Concern,0.693,0.197,0.0012,0.0528,0.1062,0.0004,0.6174,POINT (-72.738288 41.575155),CT
